palabra,cantidad
otros,1
vicente,1
independientes,1
castillo,1
guinea,1
parte,1
del,2
salomón,1
antigua,1
jamaica,1
constituidos,1
isabel,1
belice,1
las,1
balmoral,1
reino,3
desde,1
lucía,1
muerte,1
australia,1
trono,1
ascenso,1
forman,1
canadá,1
septiembre,1
zelanda,1
soberana,1
barbuda,1
que,1
islas,1
además,1
cristóbal,1
santa,1
naciones,1
londres,1
abril,1
1952,1
papúa,1
mancomunidad,1
unido,2
hasta,1
san,2
elizabeth,1
2022,2
granadinas,1
nueva,2
mary;,1
tuvalu,1
estados,1
granada,1
nieves,1
monarca,1
bahamas,1
fue,1
alexandra,1
1926,1
catorce,1
